"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7210,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.337999999999997,0.234999999999999,0.0185165405273438,0.0233333333333333,0.04,0.0233333333333333,0.583333333333333,9600,32,FALSE,FALSE,NA
7210,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.337999999999997,0.231000000000002,0.0191268920898438,0.09,0.1,0.09,0.9,9600,32,FALSE,FALSE,NA
7210,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.337999999999997,0.233000000000001,0.01983642578125,0.106666666666667,0.106666666666667,0.106666666666667,1,9600,32,FALSE,FALSE,NA
7210,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.337999999999997,NA,NA,0.0133333333333333,0.0133333333333333,0.0507526027607084,1,30000,100,FALSE,FALSE,NA
7210,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.428999999999998,NA,NA,0,0,0.00369953776624257,0.04,30000,100,FALSE,TRUE,NA
7210,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0229999999999997,NA,NA,0.00333333333333333,0.00333333333333333,0.0172387126871759,1,30000,100,FALSE,FALSE,NA
7210,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0350000000000001,NA,NA,0.01,0.01,0.025472501530415,1,30000,100,FALSE,FALSE,NA
7210,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0449999999999982,NA,NA,0.00666666666666667,0.00666666666666667,0.0191006591419035,1,30000,100,FALSE,FALSE,NA
7210,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999889,NA,0.196666666666667,0.196666666666667,0.345909368536102,1,30000,100,FALSE,FALSE,NA
7211,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.373999999999999,0.242999999999999,0.0185394287109375,0.04,0.0652173913043478,0.04,0.613333333333333,9600,32,FALSE,FALSE,NA
7211,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.373999999999999,0.253,0.0189895629882812,0.13,0.165254237288136,0.13,0.786666666666667,9600,32,FALSE,FALSE,NA
7211,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.373999999999999,0.247999999999998,0.0199661254882812,0.136666666666667,0.136666666666667,0.136666666666667,1,9600,32,FALSE,FALSE,NA
7211,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.373999999999999,NA,NA,0.0133333333333333,0.0133333333333333,0.050131142866559,1,30000,100,FALSE,FALSE,NA
7211,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.314,NA,NA,0.00666666666666667,0.166666666666667,0.0124822135925077,0.04,30000,100,FALSE,TRUE,NA
7211,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.022000000000002,NA,NA,0.00333333333333333,0.00333333333333333,0.0139525916348197,1,30000,100,FALSE,FALSE,NA
7211,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0390000000000015,NA,NA,0.0133333333333333,0.0133333333333333,0.0406021639235694,1,30000,100,FALSE,FALSE,NA
7211,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0470000000000006,NA,NA,0,0,0.00502742523501118,1,30000,100,FALSE,FALSE,NA
7211,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000244,NA,0.173333333333333,0.173333333333333,0.344559098382643,1,30000,100,FALSE,FALSE,NA
7212,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.370000000000001,0.238,0.0185089111328125,0.0133333333333333,0.023121387283237,0.0133333333333333,0.576666666666667,9600,32,FALSE,FALSE,NA
7212,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.370000000000001,0.250000000000004,0.0189590454101562,0.0766666666666667,0.100877192982456,0.0766666666666667,0.76,9600,32,FALSE,FALSE,NA
7212,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.370000000000001,0.244,0.0198440551757812,0.0966666666666667,0.0966666666666667,0.0966666666666667,1,9600,32,FALSE,FALSE,NA
7212,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.370000000000001,NA,NA,0.02,0.02,0.0486147479943125,1,30000,100,FALSE,FALSE,NA
7212,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.323,NA,NA,0,0,0.0029594786114394,0.04,30000,100,FALSE,TRUE,NA
7212,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0229999999999997,NA,NA,0.00333333333333333,0.00333333333333333,0.0159241453948134,1,30000,100,FALSE,FALSE,NA
