"method","status","oos","n_fit","n_source","n_calibration","n_test","n_classes_train","n_classes_test","unseen_fraction","oa","macro_f1","miou","rare_recall","ece","ece_uncalibrated","seen_oa","seen_macro_f1","seen_miou","temperature","calibration_n","calibration_nll_before","calibration_nll_after","test_labels_read_during_fit","uses_source_alignment","uses_oos_structure","error","runtime_sec","retained_mb","sampled_peak_rss_mb","fold","test_block","calibration_block","seed","labels_per_class","calibration_per_class","max_fit_rows"
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,64,28,2494,16,4,0.102646351242983,0.228949478748998,0.3152938856227,0.274375917175171,0,0.109506513576076,0.380265852252932,0.255138516532618,0.420391847496933,0.365834556233562,16.4993008167273,16,10.1078742312916,2.54705110265785,FALSE,FALSE,TRUE,NA,0.262,0.00847625732421875,343.75,7,14,15,5114,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,64,28,2494,17,4,0.102646351242983,0.153969526864475,0.268941229685632,0.253613695406,0,0.139653688841997,0.161401125813513,0.171581769436997,0.35858830624751,0.338151593874666,1.24019845215302,16,2.22286352116947,2.19137305950192,FALSE,TRUE,FALSE,NA,0.949999999999989,2.39112091064453,624.109375,7,14,15,5114,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,64,28,2494,17,4,0.102646351242983,0.161186848436247,0.274737075576864,0.254542513043947,0,0.145632949669868,0.154849043339246,0.179624664879357,0.366316100769152,0.33939001739193,1.22406747329889,16,2.28839692633533,2.26644575155356,FALSE,TRUE,TRUE,NA,1.05099999999999,2.39112091064453,616.46875,7,14,15,5114,4,4,750
"lema","ok","direct learned low-modality linear projection",750,64,28,2494,16,4,0.102646351242983,0.750200481154771,0.499919484702093,0.499839021249195,0,0.284873952367233,0.650057569369353,0.836014298480786,0.666559312936125,0.66645202833226,0.0625061924090736,16,2.66544525889788,1.96623386709624,FALSE,TRUE,FALSE,NA,1.923,10.3114166259766,940.625,7,14,15,5114,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,64,28,2494,16,4,0.102646351242983,0.119085805934242,0.241071428571429,0.232758620689655,0,0.146691992877068,0.140194050517017,0.132707774798928,0.321428571428571,0.310344827586207,0.84610880063015,16,2.5194037414368,2.51528014824765,FALSE,TRUE,FALSE,NA,0.365000000000009,0.163230895996094,408.6875,7,14,15,5114,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.004,NA,474.484375,7,14,15,5114,4,4,750
"target_centroid","ok","direct scaled target features",750,68,4,4642,17,7,0.511848341232227,0.123222748815166,0.243129973246878,0.158206841331429,0.44,0.865725034324718,0.567535608539801,0.252427184466019,0.382375747301926,0.256010586267362,0.0500545154435298,4,0.128421567233772,9.65894031423905e-15,FALSE,FALSE,FALSE,NA,0.0819999999999936,0,210.4375,8,15,16,5115,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,68,4,4642,17,7,0.511848341232227,0.0990952175786299,0.168139698493406,0.103161562632621,0.0457142857142857,0.641455937872359,0.372638844606723,0.203000882612533,0.282916272257079,0.185173883438964,0.404041134649203,4,1.63437077323634,1.43597685908831,FALSE,FALSE,TRUE,NA,0.543999999999983,0.00868988037109375,366.4375,8,15,16,5115,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,68,4,4642,18,7,0.511848341232227,0.22834984920293,0.359097591086182,0.262538744246156,0.428571428571429,0.614381542328904,0.140807890737852,0.467784642541924,0.534879070700989,0.404244070536205,0.0500436651566305,4,0.883546679261521,1.64134642935969e-08,FALSE,TRUE,FALSE,NA,1.40000000000001,2.42500305175781,673.984375,8,15,16,5115,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,68,4,4642,18,7,0.511848341232227,0.192158552348126,0.267184971892975,0.193225773601923,0.00571428571428571,0.416208863615388,0.0832511189180854,0.393645189761695,0.380395307884897,0.277199189492236,0.230081191746206,4,1.50712258974721,0.39812021621874,FALSE,TRUE,TRUE,NA,1.49300000000002,2.42500305175781,653.375,8,15,16,5115,4,4,750
"lema","ok","direct learned low-modality linear projection",750,68,4,4642,17,7,0.511848341232227,0.171046962516157,0.338092332575949,0.277339341171304,0.657142857142857,0.371326769941982,0.099485022717395,0.350397175639894,0.481846368276135,0.404506955625102,0.0500498167170197,4,1.84365819622369,4.24290692980486e-07,FALSE,TRUE,FALSE,NA,2.166,10.4183578491211,994.609375,8,15,16,5115,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,68,4,4642,17,7,0.511848341232227,0.0644118914261094,0.0672976626595179,0.0404387921563405,0.0457142857142857,0.558403535452523,0.0733581726147275,0.131950573698147,0.0942167277233251,0.0566143090188767,0.155215010342864,4,1.49720578837093,0.488026143210156,FALSE,TRUE,FALSE,NA,0.442000000000007,0.163597106933594,421.234375,8,15,16,5115,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.012,NA,490.625,8,15,16,5115,4,4,750
"target_centroid","ok","direct scaled target features",750,76,16,166,19,1,0,1,1,1,1,0.41074616565956,0.0100168328221909,1,1,1,5.24144908001353,16,3.40255195224361,1.6780484384139,FALSE,FALSE,FALSE,NA,0.035000000000025,0,4.8125,9,16,1,5116,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,76,16,166,19,1,0,0.234939759036145,0.380487804878049,0.234939759036145,0.234939759036145,0.175142532855581,0.284870966607991,0.234939759036145,0.380487804878049,0.234939759036145,1.84771041829503,16,2.12522314012821,1.92774855770313,FALSE,FALSE,TRUE,NA,0.0989999999999895,0.00914764404296875,244.203125,9,16,1,5116,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,76,16,166,20,1,0,0.993975903614458,0.996978851963746,0.993975903614458,0.993975903614458,0.24210704801767,0.548137914852067,0.993975903614458,0.996978851963746,0.993975903614458,0.538192495281876,16,1.8095872650063,1.57763144765614,FALSE,TRUE,FALSE,NA,0.979000000000042,2.54833221435547,643.140625,9,16,1,5116,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,76,16,166,20,1,0,0.993975903614458,0.996978851963746,0.993975903614458,0.993975903614458,0.300284857260443,0.74281081681478,0.993975903614458,0.996978851963746,0.993975903614458,0.399608172607617,16,1.89700555126513,1.43897030563336,FALSE,TRUE,TRUE,NA,1.01999999999998,2.54833221435547,624.96875,9,16,1,5116,4,4,750
"lema","ok","direct learned low-modality linear projection",750,76,16,166,19,1,0,1,1,1,1,0.000172803640232089,0.880359319200717,1,1,1,0.0500734960931034,16,2.79975536777449,1.31454803593902,FALSE,TRUE,FALSE,NA,1.80000000000001,10.6338500976562,966.15625,9,16,1,5116,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,76,16,166,19,1,0,0.957831325301205,0.978461538461538,0.957831325301205,0.957831325301205,0.837557991311754,0.70493218870516,0.957831325301205,0.978461538461538,0.957831325301205,2.34824702310586,16,2.95925957678915,2.88115853382332,FALSE,TRUE,FALSE,NA,0.290999999999997,0.164329528808594,348.34375,9,16,1,5116,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.003,NA,483.171875,9,16,1,5116,4,4,750
